Heading Number	Heading	URL	Citation Number	Code	Citation	Abbreviation	Access Point Use	Notes
112	Mann, Johann Christoph, 1726-1782	https://cmc.wp.musiclibraryassoc.org/thematic-index/mann-johann-christoph-1726-1782/	1	Fischer	\"Thematischer Katalog der Instrumentalwerke von Matthias Georg Monn und Johann Christoph Mann.\" In Fischer, Wilhelm, ed. Wiener Instrumentalmusik vor und um 1750: Vorläufer der wiener Klassiker.	F. (n 84202523)	Authorized and variant access points.	Use in authorized access points for works not listed in Rudolf or Pollack (i.e. F. 80-90 and F. 99-119)
112	Mann, Johann Christoph, 1726-1782	https://cmc.wp.musiclibraryassoc.org/thematic-index/mann-johann-christoph-1726-1782/	2	Pollack	Pollack, Carla. \"Viennese Solo Keyboard Music, 1740-1770: a Study in the Evolution of the Classical Style.\" PhD diss., Brandeis University, 1983: p. 426-452.	P. (n  84202523)	Authorized and variant access points.	For Mann's keyboard sonatas.
112	Mann, Johann Christoph, 1726-1782	https://cmc.wp.musiclibraryassoc.org/thematic-index/mann-johann-christoph-1726-1782/	3	Rudolf	Rudolf, Kenneth E. \"Johann Christoph Mann, Georg Matthias Monn.” In The symphony, 1720-1840. Reference volume, edited by Barry S. Brook, 356-359. New York: Garland, 1986.	R. (n  84202523)	Authorized and variant access points.	For the symphonies only. Example:  R. C-51
113	Marcello, Benedetto, 1686-1739	https://cmc.wp.musiclibraryassoc.org/thematic-index/marcello-benedetto-1686-1739/	1	Selfridge	Selfridge-Field. Eleanor. The Music of Benedetto and Alessandro Marcello: A Thematic Catalogue with Commentary on the Composers, Repertory, and Sources. Oxford: Clarendon Press, 1990.	S. (n 81047353)	Authorized or variant access points.	
114	Margola, Franco, 1908-1992	https://cmc.wp.musiclibraryassoc.org/thematic-index/margola-franco-1908-1992/	1	DeCarli	De Carli, Ottavio. Franco Margola: catalogo delle opere . Brescia: Fondazione civiltà bresciana, 1993.	dC. (no 90011533)	Authorized or variant access points.	The De Carli thematic index number may be used in newly formed authorized access points when it is necessary to break a conflict in the authority file. For works where the preferred title consists only of a type of composition, the De Carli thematic index number may only be used in forming the authorized access point if the thematic index number is present on the resource in-hand or in cases where no other identifying information is available. Some resources published after 1993 erroneously give the De Carli number as an opus number. In such cases, the opus number should be considered as a thematic index number and the caption associated with the De Carli index should be used with the numeral in authorized access points and in subfield 383 $c.
115	Martinů, Bohuslav, 1890-1959	https://cmc.wp.musiclibraryassoc.org/thematic-index/martinu-bohuslav-1890-1959/	1	Halbreich	Halbreich, Harry. Bohuslav Martinů: Werkverzeichnis und Biografie. 2., rev. Ausg. Mainz: Schott, 2007.	H. (n 80122955)	Use only to resolve conflicts in authorized or variant access points.	Updated from the 1968 edition, published by Atlantis-Verlag.
116	Mauersberger, Rudolf	https://cmc.wp.musiclibraryassoc.org/thematic-index/mauersberger-rudolf/	1	Herrmann1991	Herrmann, Matthias. Rudolf Mauersberger (1889-1971): Werkverzeichnis (RMWV). 2, gänzlich neu bearbeitete Aufl. Dresden: Sächsische Landesbibliotek, 1991.	RMVW.	Authorized or variant access points.	
117	McKinley, William Thomas	https://cmc.wp.musiclibraryassoc.org/thematic-index/mckinley-william-thomas/	1	Sposato	Sposato, Jeffrey S. William Thomas McKinley: A Bio-bibliography. Westport, Conn.: Greenwood Press, 1995.	S.	Variant access points only.	Numbering follows the organization of works in the catalog: the abbreviation \"S.\" followed by the Roman numeral for group number, the letter for specific medium of performance, and the Arabic numeral for the individual work (e.g. S.II.M.1).
118	Meier, Hermann, 1906-2002	https://cmc.wp.musiclibraryassoc.org/thematic-index/meier-hermann-1906-2002/	1	ZimmermannH	Zimmermann, Heidy, and Michèle Noirjean-Linder, eds. Sammlung Hermann Meier: Musikmanuskripte, Vorläufiges Verzeichnis der Bestände, Stand 11. September 2020. Inventare der Paul Sacher Stiftung. Basel: Paul Sacher Stiftung, 2020. https://www.hermannmeier.com/_files/ugd/9e0077_0fb06929baa74537a60ee653db0d9c4c.pdf?index=true	HMV	Variant access points only.	Index available online as PDF (https://www.hermannmeier.com/_files/ugd/9e0077_0fb06929baa74537a60ee653db0d9c4c.pdf?index=true) Use only for works that can reliably be assigned a number based on the information available. Prefer the PDF index over the similar index on the Hermann Meier website.
119	Mendelssohn-Bartholdy, Felix, 1809-1847	https://cmc.wp.musiclibraryassoc.org/thematic-index/mendelssohn-bartholdy-felix-1809-1847/	1	Wehner	Wehner, Ralf. Felix Mendelssohn-Bartholdy: thematisch-systematisches Verzeichnis der musikalischen Werke (MWV). Studien Ausg. Leipziger Ausgabe der Werke von Felix Mendelssohn Bartholdy, Ser. 13, Bd. 1A. Wiesbaden: Breitkopf & Härtel, 2009	MWV	Thematic index numbers from Wehner may be used in authorized access points to break conflicts between access points. Do not replace serial and/or opus numbers in existing access points with Wehner numbers or add Wehner numbers to access points already containing serial and/or opus numbers.	
120	Mettraux, Laurent, 1970-	https://cmc.wp.musiclibraryassoc.org/thematic-index/mettraux-laurent-1970/	1	Mettraux	Mettraux, Laurent. “Catalogues.” Last modified August 31, 2010. http://www.laurentmettraux.com/catalogues_accueil.htm	M. (no2006027882)	Variant access points only.	Index available online (http://www.laurentmettraux.com/catalogues_accueil.htm)
121	Michl, Joseph Willibald, 1745-1816.	https://cmc.wp.musiclibraryassoc.org/thematic-index/michl-joseph-willibald-1745-1816/	1	Schwemmer	Schwemmer, Marius. Studien zu Genealogie, Biographie und Werk von Joseph Willibald Michl (1745-1816). 2nd ed. Würzburg, 2017. https://opus.bibliothek.uni-wuerzburg.de/opus4-wuerzburg/frontdoor/deliver/index/docId/14527/file/schwemmer_marius_michl.pdf	SchM (n  9109540)	Authorized or variant access point.	The index is in Teil 2 and begins on page 753 of the pdf. Available online (https://opus.bibliothek.uni-wuerzburg.de/opus4-wuerzburg/frontdoor/deliver/index/docId/14527/file/schwemmer_marius_michl.pdf)
122	Mico, Richard, approximately 1590-1661	https://cmc.wp.musiclibraryassoc.org/thematic-index/mico-richard-approximately-1590-1661/	1	Dodd-Mico	Dodd, Gordon, ed. Thematic Index of Music for Viols. [London]: Viola da Gamba Society of Great Britain, 1980-92.	VdGS no. (n 86865431)	Authorized or variant access points.	Index available online (http://vdgs.org.uk/thematic/)
123	Molter, Johann Melchior, 1696-1765	https://cmc.wp.musiclibraryassoc.org/thematic-index/molter-johann-melchior-1696-1765/	1	Häfner	Häfner, Klaus. Der badische Hofkapellmeister Johann Melchior Molter (1696-1765) in seiner Zeit: Dokumente und bilder zu Leben und Werk. Karlsruhe: Selbstverlag der Badischen Landesbibliothek, 1996.	MWV (n 81132011)	Authorized or variant access points.	Thematic index on p. 243-262.
124	Monn, Matthias Georg, 1717-1750	https://cmc.wp.musiclibraryassoc.org/thematic-index/monn-matthias-georg-1717-1750/	1	Fischer	\"Thematischer Katalog der Instrumentalwerke von Matthias Georg Monn und Johann Christoph Mann.\" In Fischer, Wilhelm, ed. Wiener Instrumentalmusik vor und um 1750: Vorläufer der wiener Klassiker. Vol. 2. Denkmäler der Tonkunst in Österreich, Jahrg. 19/2, Bd. 39. Wiener Instrumentalmusik im XVIII. Jahrh., 2. Vienna: Artaria, 1912. Reprint, Graz: Akademische Druck- u. Verlagsanstalt, 1959.	F. (n 82074062)	For instrumental works; use in authorized or variant access points.	Thematic index on p. xxv-xxxix.
125	Monteverdi, Claudio, 1567-1643	https://cmc.wp.musiclibraryassoc.org/thematic-index/monteverdi-claudio-1567-1643/	1	Stattkus	Stattkus, Manfred H. Claudio Monteverdi, Verzeichnis der erhaltenen Werke (SV). Kleine Ausg. Bergkamen: Musikverlag Stattkus, 1985.	SV	Variant access points only.	
126	Mozart, Leopold, 1719-1787	https://cmc.wp.musiclibraryassoc.org/thematic-index/mozart-leopold-1719-1787/	1	Seiffert	Ausgewählte Werke von Leopold Mozart. Edited by Max Seiffert. Leipzig: Breitkopf & Härtel, 1908.	S. (n 79127794)	Use in authorized or variant access points when practicable.	
126	Mozart, Leopold, 1719-1787	https://cmc.wp.musiclibraryassoc.org/thematic-index/mozart-leopold-1719-1787/	2	Eisen	Eisen, Cliff. \"The Symphonies of Leopold Mozart and Their Relationship to the Early Symphonies of Wolfgang Amadeus Mozart: A Bibliographical and Stylistic Study.\" Ph.D. diss., Cornell University, 1986.	E. (n 79127794)	For symphonies; use in variant access points.	Numbers are in 2nd ed. of New Grove with concordances to Seiffert numbers where they exist.
126	Mozart, Leopold, 1719-1787	https://cmc.wp.musiclibraryassoc.org/thematic-index/mozart-leopold-1719-1787/	3	Eisen2010	Eisen, Cliff. Leopold-Mozart-Werkverzeichnis (LMV). Augsburg: Wissner, 2010.	LMV (n 79127794)	Authorized or variant access points.	
127	Mozart, Wolfgang Amadeus, 1756-1791	https://cmc.wp.musiclibraryassoc.org/thematic-index/mozart-wolfgang-amadeus-1756-1791/	1	Köchel6	Köchel, Ludwig Ritter von. Chronologisch-thematisches Verzeichnis sämtlicher Tonwerke Wolfgang Amadé Mozarts: Nebst Angabe der verlorengegangenen, angefangenen, von fremder Hand bearbeiteten, zweifelhaften und unterschobenen Kompositionen. Edited by Franz Giegling, Alexander Weinmann, and Gerd Sievers. 6 Aufl. Wiesbaden: Breitkopf & Härtel, 1964. Reprint, 7. unveränderte Aufl. Wiesbaden: Breitkopf & Härtel, 1965. Reprint, 8., unveraänderte Aufl. Wiesbaden Breitkopf & Härtel, 1983.	K. (n 80022788)	Authorized or variant access points; use the numbers given in boldface when they are present. If boldface numbers are not present in appendix C, use the numbers given, if any, that are from the earliest ed. of Köchel (usually the 3rd).	For purposes of identifying the index used in MARC field 383, apply the following: a) if the number is alone, code the index as Köchel6; b) if there are two numbers, code the 1st number as Köchel6, code the 2nd number as Köchel. The 7th and 8th editions of Köchel are considered the same as the 6th ed. Concordance for the K1, K3, and K6 numbers is in New Grove, 2nd ed.
127	Mozart, Wolfgang Amadeus, 1756-1791	https://cmc.wp.musiclibraryassoc.org/thematic-index/mozart-wolfgang-amadeus-1756-1791/	2	Köchel	Köchel, Ludwig Ritter von. Chronologisch-thematisches Verzeichnis sämtlicher Tonwerke Wolfgang Amadé Mozarts: Nebst Angabe der verlorengegangenen, angefangenen, von fremder Hand bearbeiteten, zweifelhaften und unterschobenen Kompositionen. Edited by Alfred Einstein. 3. Aufl. Leipzig: Breitkopf & Härtel, 1937. Reprint, 4. Aufl. Leipzig: Breitkopf & Härtel, 1958. Reprint, 5., Aufl. Leipzig: Breitkopf & Härtel, 1961.	K.	Variant access points only.	For purposes of identifying the index used in MARC field 383, apply the following: a) if the number is alone, code the index as Köchel6; b) if there are two numbers, code the 1st number as Köchel6, code the 2nd number as Köchel. The 7th and 8th editions of Köchel are considered the same as the 6th ed. Concordance for the K1, K3, and K6 numbers is in New Grove, 2nd ed.
128	Mysliveček, Josef, 1737-1781	https://cmc.wp.musiclibraryassoc.org/thematic-index/myslivecek-josef-1737-1781/	1	Evans	Evans, Angela, and Robert Dearling. Josef Mysliveček: (1737-1781): A Thematic Catalogue of his Instrumental and Orchestral Works. Munich: Katzbichler, 1999.	E. (n 80097552)	For instrumental works: use in authorized or variant access points.	
129	Neukomm, Sigismund, Ritter von, 1778-1858	https://cmc.wp.musiclibraryassoc.org/thematic-index/neukomm-sigismund-ritter-von-1778-1858/	1	Angermüller	Angermüller, Rudolph, ed. Sigismund Neukomm: Werkverzeichnis, Autobiographie, Beziehung zu seinen Zeitgenossen. München: E. Katzbichler, 1977.	NV	For works without opus numbers; use only to resolve conflicts in authorized or variant access points.	
130	Novotny, Ferenc, approximately 1749-1806	https://cmc.wp.musiclibraryassoc.org/thematic-index/novotny-ferenc-approximately-1749-1806/	1	Somorjay	Somorjay, Dorottya. \"Thematic Index: Novotny.\" In The Symphony in Hungary. The Symphony in Bohemia. The Symphony, 1720-1840, ed. Barry S. Brook, ser. B, vol. 12. New York: Garland, 1984.	S. (n 84043344)	For symphonies; use in authorized or variant access points.	Thematic index on p. xix.
131	Okeover, John, -approximately 1663	https://cmc.wp.musiclibraryassoc.org/thematic-index/okeover-john-approximately-1663/	1	Dodd-Okeover	Dodd, Gordon, ed. Thematic Index of Music for Viols. [London]: Viola da Gamba Society of Great Britain, 1980-92.	VdGS no. (n 92014204)	For consort works; use in authorized or variant access points.	Index available online (http://vdgs.org.uk/thematic/)
132	Ordoñez, Carlos d', 1734-1786	https://cmc.wp.musiclibraryassoc.org/thematic-index/ordon%cc%83ez-carlos-d-1734-1786/	1	BrownA	Brown, A. Peter. Carlo d'Ordoñez, 1734-1786: A Thematic Catalog. Detroit: Information Coordinators, 1978.	B. (n  80122952)	Authorized or variant access points	
133	Oxinaga, Joaquín de	https://cmc.wp.musiclibraryassoc.org/thematic-index/oxinaga-joaquin-de/	1	López	Oxinaga, Joaquín de. Obras musicales Edited by José López-Calo. San Sebastián: Eusko Ikaskuntza, n.d. [between 1980 and 1989].	L. (n 85374280)	Authorized or variant access points.	
134	Pachelbel, Johann, 1653-1706	https://cmc.wp.musiclibraryassoc.org/thematic-index/pachelbel-johann-1653-1706/	1	Perreault	Perreault, Jean M. The Thematic Catalogue of the Musical Works of Johann Pachelbel. Lanham, Md: Scarecrow Press, 2004.	P. (n 79077219)	Authorized or variant access points.	
134	Pachelbel, Johann, 1653-1706	https://cmc.wp.musiclibraryassoc.org/thematic-index/pachelbel-johann-1653-1706/	2	Paech	Paech, Katharina Larissa. Pachelbel-Werke-Verzeichnis (PWV) .	PWV	Variant access points only.	Index available online (http://klpaech.com/forschungsschwerpunkt-pachelbel/pachelbel-werke-verzeichnis-pwv/)
134	Pachelbel, Johann, 1653-1706	https://cmc.wp.musiclibraryassoc.org/thematic-index/pachelbel-johann-1653-1706/	3	Welter	Welter, Kathryn Jane. Johann Pachelbel: Organist, Teacher, Composer: a Critical Reexamination of His Life, Works, and Historical Significance. Ph.D. diss., Harvard University, 1998.	WPC	Variant access points only.	Census of works and sources: leaves 292-375.
135	Paganini, Nicolò, 1782-1840	https://cmc.wp.musiclibraryassoc.org/thematic-index/paganini-nicolo-1782-1840/	1	Moretti	Moretti, Maria Rosa and Anna Sorrento, eds. Catalogo tematico delle musiche di Nicolò Paganini. Genova: Comune di Genova, 1982.	M.S. (n 79105881)	Authorized or variant access points.	
136	Palmgren, Selim, 1878-1951	https://cmc.wp.musiclibraryassoc.org/thematic-index/palmgren-selim-1878-1951/	1	Poroila	Poroila, Heikki. Selim Palmgrenin sävellykset. Helsinki: Suomen musiikkikirjastoyhdistys, 2014.	SP (n 81081337)	Variant access points only.	For works without opus numbers. Index available online (http://www.musiikkikirjastot.fi/app/uploads/2016/11/Palmgren_luettelo.pdf)
137	Pasquini, Bernardo, 1637-1710	https://cmc.wp.musiclibraryassoc.org/thematic-index/pasquini-bernardo-1637-1710/	1	Haynes	Pasquini, Bernardo. Collected Works for Keyboard. Edited by Maurice Brooks Haynes. Corpus of Early Keyboard Music, 5. N.p.: American Institute of Musicology, 1964-	H. (n 81149811)	For keyboard works; use in authorized or variant access points.	
138	Pergolesi, Giovanni Battista, 1710-1736	https://cmc.wp.musiclibraryassoc.org/thematic-index/pergolesi-giovanni-battista-1710-1736/	1	Paymer	Paymer, Marvin E. Giovanni Battista Pergolesi, 1710-1736: A Thematic Catalogue of the Opera Omnia with an Appendix Listing Omitted Compositions. New York: Pendragon Press, 1977.	P. (n 79091200)	Authorized or variant access points.	
139	Pla, José, 1728-1762	https://cmc.wp.musiclibraryassoc.org/thematic-index/pla-jose-1728-1762/	1	Dolcet1	Dolcet, Josep. \"L'obra dels germans Pla: Bases per a una catalogacio.\" Anuario musical 42 (1987): 131-88.	D. (n 88675389)	Authorized or variant access points.	
140	Pla, Juan, active 18th century	https://cmc.wp.musiclibraryassoc.org/thematic-index/pla-juan-active-18th-century/	1	Dolcet2	Dolcet, Josep. \"L'obra dels germans Pla: Bases per a una catalogacio.\" Anuario musical 42 (1987): 131-88.	D. (n 88675383)	Authorized or variant access points.	Works of unknown attribution or possible joint attribution also entered under him.
141	Platti, Giovanni Benedetto, -1763	https://cmc.wp.musiclibraryassoc.org/thematic-index/platti-giovanni-benedetto-1763/	1	Iesuè	Iesuè, Alberto. Le opere di Giovanni Benedetto Platti, 1697-1763. Padova: Edizioni de \"I Solisti veneti\", 1999.	I (n 82099783)	For works without opus no., use in authorized or variant access points. For works with opus no., use in variant access points only.	There is no period after the abbreviation.
142	Pleyel, Ignaz, 1757-1831	https://cmc.wp.musiclibraryassoc.org/thematic-index/pleyel-ignaz-1757-1831/	1	Benton	Benton, Rita. Ignace Pleyel: A Thematic Catalogue of His Compositions. New York: Pendragon Press, 1977.	B. (n 79107743)	Authorized or variant access points.	
143	Portugal, Marcos Antônio da Fonseca, 1762-1830	https://cmc.wp.musiclibraryassoc.org/thematic-index/portugal-marcos-antonio-da-fonseca-1762-1830/	1	Marques	Marques, Antonio Jorge. A obra religiosa de Marcos Antonio Portugal (1762-1830). Lisbon : Biblioteca Nacional de Portugal, 2012.	P (n 2018059160)	Authorized and variant access points.	Use for sacred works.
144	Poulenc, Francis, 1899-1963	https://cmc.wp.musiclibraryassoc.org/thematic-index/poulenc-francis-1899-1963/	1	Schmidt	Schmidt, Carl B. The Music of Francis Poulenc (1899-1963): A Catalogue. Oxford: Clarendon Press, 1995.	FP	Variant access points only.	The abbreviation is in the format FP 45. No full-stop for the abbreviation.
145	Pugnani, Gaetano, 1731-1798	https://cmc.wp.musiclibraryassoc.org/thematic-index/pugnani-gaetano-1731-1798/	1	Zschinsky	Zschinsky-Troxler, Elsa Margherita von. Gaetano Pugnani, 1731-1798: Ein Beitrag zur Stillerfassung italienischer Vorklassik. Berlin: Atlantis, 1939.	Z. (n 88003883)	Authorized or variant access points.	
146	Purcell, Henry, 1659-1695	https://cmc.wp.musiclibraryassoc.org/thematic-index/purcell-henry-1659-1695/	1	Zimmerman	Zimmerman, Franklin B. Henry Purcell, 1659-1696: An Analytical Catalogue of His Music. London: Macmillan, 1963.	Z. (n 79095298)	Authorized or variant access points.	
147	Quantz, Johann Joachim, 1697-1773	https://cmc.wp.musiclibraryassoc.org/thematic-index/quantz-johann-joachim-1697-1773/	1	Augsbach	Augsbach, Horst. Johann Joachim Quantz: Thematisch-systematisches Werkverzeichnis (QV). Stuttgart: Carus-Verlag, 1997.	QV (n 79141193)	Authorized or variant access points.	
148	Raff, Joachim, 1822-1882	https://cmc.wp.musiclibraryassoc.org/thematic-index/raff-joachim-1822-1882/	1	Schäfer	Schäfer, Albert. Chronologisch-systematisches Verzeichnis der Werke Joachim Raff's. Tutzing: Schneider, 1974.	WoO	Authorized or variant access points.	
149	Rameau, Jean-Philippe, 1683-1764	https://cmc.wp.musiclibraryassoc.org/thematic-index/rameau-jean-philippe-1683-1764/	1	Bouissou	Bouissou, Sylvie and Denis Herlin. Jean-Philippe Rameau, catalogue thématique des œuvres musicales. Opera omnia de Rameau, VI, 1. Paris: CNRS éditions, Bibliothèque nationale de France, 2003-.	RCT	Variant access points only.	
150	Reger, Max, 1873-1916	https://cmc.wp.musiclibraryassoc.org/thematic-index/reger-max-1873-1916/	1	Popp	Popp, Susanne. Thematisch-chronologisches Verzeichnis der Werke Max Regers und ihrer Quellen: Reger-Werk-Verzeichnis (RWV). München: Henle, 2010.	See note.	Use in authorized or variant access points.	Use opus or WoO number as it appears in the catalog.
151	Reichardt, Johann Friedrich, 1752-1814	https://cmc.wp.musiclibraryassoc.org/thematic-index/reichardt-johann-friedrich-1752-1814/	1	Dennerlein	Dennerlein, Hanns. Johann Friedrich Reichardt und seine Klavierwerke. Universitas-Archiv. Musikwissenschaftliche Abteilung, Bd. 4. Münster: Helios Verlag, 1930.	D.	Pending a decision from the Library of Congress.	
152	Respighi, Ottorino, 1879-1936	https://cmc.wp.musiclibraryassoc.org/thematic-index/respighi-ottorino-1879-1936/	1	Pedarra	Pedarra, Potito. \"Catalogo delle opera di Ottorino Respighi.\" In Rostirolla, Giancarlo, ed. Ottorino Respighi. Turin: ERI, 1985.	P.	Variant access points only.	
153	Rheinberger, Josef, 1839-1901	https://cmc.wp.musiclibraryassoc.org/thematic-index/rheinberger-josef-1839-1901/	1	Irmen	Irmen, Hans-Josef. Thematisches Verzeichnis der musikalichen Werke Gabriel Josef Rheinbergers. Regensburg: Gustav Bosse Verlag, 1974.	WoO, JWV (n 81023166)	For works without opus no.; use in authorized or variant access points.	The prefix RhWV is not used.
154	Richter, Franz Xaver, 1709-1789	https://cmc.wp.musiclibraryassoc.org/thematic-index/richter-franz-xaver-1709-1789/	1	Reutter	Reutter, Jochen. Studien zur Kirchenmusik Franz Xaver Richters (1709-1789). Quellen und Studien zur Geschichte der Mannheimer Hofkapelle, Bd. 1. Frankfurt: P. Lang, 1993.	R. (n 79141193)	For sacred works: use in authorized or variant access points.	Resource in two volumes. Thematic index in vol. 2.
155	Ries, Ferdinand, 1784-1838	https://cmc.wp.musiclibraryassoc.org/thematic-index/ries-ferdinand-1784-1838/	1	Hill1977	Hill, Cecil. Ferdinand Ries: A Thematic Catalogue. Armidale, N.S.W.: University of New England, 1977.	WoO	Use in authorized or variant access points.	
156	Rolla, Alessandro, 1757-1841	https://cmc.wp.musiclibraryassoc.org/thematic-index/rolla-alessandro-1757-1841/	1	Inzaghi1981	Inzaghi, Luigi and Luigi Alberto Bianchi. Alessandro Rolla: Catalogo tematico delle opere. Milan: Nuove Edizioni, 1981.	BI (n 82101854)	For works without opus numbers; use in authorized or variant access points.	
157	Roman, Johan Helmich, 1694-1758	https://cmc.wp.musiclibraryassoc.org/thematic-index/roman-johan-helmich-1694-1758/	1	Bengtsson	Bengtsson, Ingmar. J.H. Roman och hans instrumentalmusik: Käll- och stillkritiska studier. Uppsala: Almquist & Wiksells, 1955.	B. (n 82099726)	Authorized or variant access points.	
158	Rosetti, Antonio, approximately 1750-1792	https://cmc.wp.musiclibraryassoc.org/thematic-index/rosetti-antonio-approximately-1750-1792/	1	Murray1996	Murray, Sterling E. The Music of Antonio Rosetti (Anton Rösler) ca. 1750-1792: A Thematic Catalog. Warren, Mich.: Harmonie Park Press, 1996.	M. (n 81058965)	For instrumental music; use in authorized or variant access points.	Suffixes (Q, D, and S) used to define the work's authenticity are not added to the number.
158	Rosetti, Antonio, approximately 1750-1792	https://cmc.wp.musiclibraryassoc.org/thematic-index/rosetti-antonio-approximately-1750-1792/	2	Kaul	Kaul, Oskar. Thematisches Verzeichnis der Instrumentalwerke von Anton Rosetti. Wiesbaden: Breitkopf & Härtel, 1968.	K	Variant access points only.	
159	Rust, Friedrich Wilhelm, 1739-1796	https://cmc.wp.musiclibraryassoc.org/thematic-index/rust-friedrich-wilhelm-1739-1796/	1	Czach	Czach, Rudolf. Friedrich Wilhelm Rust. Essen: Kauermann, 1927.	C. (n 81097856)	Authorized or variant access points.	
160	Ryba, Jakub Jan, 1765-1815	https://cmc.wp.musiclibraryassoc.org/thematic-index/ryba-jakub-jan-1765-1815/	1	Nĕmeček	Nĕmeček, Jan. Jakub Jan Ryba: Život a dílo (Jakub Jan Ryba: Life and Works). Prague: Státní Hudební Vydavatelstvi, 1963	N. (n 82032753)	Authorized or variant access points.	
161	Sammartini, Giovanni Battista, 1700 or 1701-1775	https://cmc.wp.musiclibraryassoc.org/thematic-index/sammartini-giovanni-battista-1700-or-1701-1775/	1	Jenkins1976	Jenkins, Newell, and Bathia Churgin. Thematic Catalogue of the Works of Giovanni Battista Sammartini: Orchestral and Vocal Music. Cambridge: Harvard University Press, 1976.	J. (n 79095337)	Authorized or variant access points.	
162	Scarlatti, Domenico, 1685-1757	https://cmc.wp.musiclibraryassoc.org/thematic-index/scarlatti-domenico-1685-1757/	1	Kirkpatrick1953	Kirkpatrick, Ralph. Domenico Scarlatti. Princeton: Princeton University Press, 1953.	K. (n 79070071)	For keyboard sonatas; use in authorized or variant access points.	Reprinted in: Scarlatti, Domenico. Complete Keyboard Works in Facsimile from the Manuscript and Printed Sources. Vol. 18. Edited by Ralph Kirkpatrick. New York: Johnson Reprint Corp., 1972.
162	Scarlatti, Domenico, 1685-1757	https://cmc.wp.musiclibraryassoc.org/thematic-index/scarlatti-domenico-1685-1757/	2	Fadini	Scarlatti, Domenico. Sonate per clavicembalo. Edited by Emilia Fadini. 8 vols. Milan: Ricordi, 1978-89.	F.	For keyboard sonatas; use in variant access points only.	Concordance in New Grove.
162	Scarlatti, Domenico, 1685-1757	https://cmc.wp.musiclibraryassoc.org/thematic-index/scarlatti-domenico-1685-1757/	3	Longo	Longo, Alessandro. D. Scarlatti: Indice tematico (in ordine di tonalità e di ritmo) delle sonate per clavicembalo). Milan: G. Ricordi, 1937.	L., L. S.	For keyboard sonatas; use in variant access points only.	Reprinted 1952 and 1993. Variant access points using Longo Supplement numbers are given in the form Sonatas, harpsichord, L. S. 45. Concordance in Kirkpatrick and New Grove.
162	Scarlatti, Domenico, 1685-1757	https://cmc.wp.musiclibraryassoc.org/thematic-index/scarlatti-domenico-1685-1757/	4	Pestelli	Pestelli, Giorgio. Le sonate di Domenico Scarlatti: proposta di un ordinamento cronologico. Turin: G. Giappichelli, 1967.	P.	For keyboard sonatas; use in variant access points only.	
163	Scheidemann, Heinrich, approximately 1596-1663	https://cmc.wp.musiclibraryassoc.org/thematic-index/scheidemann-heinrich-approximately-1596-1663/	1	Breig	Breig, Werner. Die Orgelwerke von Heinrich Scheidemann. Beihefte zum Archiv für Musikwissenschaft, 3. Wiesbaden: Steiner, 1967.	B. (n 81146901)	For organ works; use in authorized or variant access points.	
164	Scheidt, Samuel, 1587-1654	https://cmc.wp.musiclibraryassoc.org/thematic-index/scheidt-samuel-1587-1654/	1	Koch	Koch, Klaus-Peter, ed. Samuel-Scheidt-Werke-Verzeichnis (SSWV). Wiesbaden: Breitkopf & Härtel, 2000.	SSWV (n 79108397)	Authorized or variant access points.	
165	Schneider, Franz, 1737-1812	https://cmc.wp.musiclibraryassoc.org/thematic-index/schneider-franz-1737-1812/	1	Freeman	Freeman, Robert N. Franz Schneider (1737-1812): A Thematic Catalogue of His Works. Thematic Catalogue Series, 5. New York: Pendragon Press, 1979.	F. (n 79052821)	Authorized or variant access points.	
166	Schoeck, Othmar, 1886-1957	https://cmc.wp.musiclibraryassoc.org/thematic-index/schoeck-othmar-1886-1957/	1	Vogel	Vogel, Werner. Thematisches Verzeichnis der Werke von Othmar Schoeck. Zürich: Atlantis Verlag, 1956.	o. op. Nr. (no 97052230)	For works without opus number; use in authorized or variant access points.	
167	Schubert, Franz, 1797-1828	https://cmc.wp.musiclibraryassoc.org/thematic-index/schubert-franz-1797-1828/	1	Deutsch	Deutsch, Otto Erich. Franz Schubert: Thematisches Verzeichnis seiner Werke in chronologischer Folge. Neuausg. Kassel: Bärenreiter, 1978.	D. (n 50000561)	Authorized or variant access points.	
168	Schütz, Heinrich, 1585-1672	https://cmc.wp.musiclibraryassoc.org/thematic-index/schutz-heinrich-1585-1672/	1	Bittinger	Bittinger, Werner, ed. Schütz-Werke-Verzeichnis (SWV). Kleine Ausg. Kassel: Bärenreiter, 1960.	SWV (n 80158647)	Authorized or variant access points.	Not a thematic catalog, but a finding list. A full-scale thematic catalog will appear after the completion of the Neuen Schütz-Sesellschaft Ausgabe. Additions in: Breig, Werner. \"Schützfunde und -zuschreibungen seit 1960: Auf dem Wege zur Grossen Angabe des Schütz-Werke-Verzeichnisses.\" Schütz-Jahrbuch 1979: 63-92.
169	Scriabin, Aleksandr Nikolyevich, 1872-1915	https://cmc.wp.musiclibraryassoc.org/thematic-index/scriabin-aleksandr-nikolyevich-1872-1915/	1	Bosshard	Bosshard, Daniel. Thematische-chronologisches Verzeichnis der musikalischen Werke von Alexander Skrjabin. Ardez: Ediziun Trais Giats, [2003?]	WoO, Anh. (n 80086161)	Authorized or variant access points.	For works without opus no.
